;Special Character Removal;Number Removal;URL and E-Mail Removal;Stopword Removal;Lowercase;Stemming;Lemmatization;Unique Words;Accuracy
0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;93727.0;0.7027349973446628
1;1.0;0.0;0.0;1.0;1.0;0.0;1.0;104911.0;0.7027349973446628
2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;86028.0;0.70246946362188
3;1.0;0.0;0.0;1.0;1.0;0.0;0.0;110848.0;0.7023366967604886
4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;110950.0;0.7019383961763144
5;1.0;0.0;0.0;0.0;1.0;0.0;1.0;104989.0;0.7019383961763144
6;1.0;0.0;0.0;0.0;1.0;1.0;0.0;93808.0;0.7015400955921403
7;1.0;0.0;1.0;1.0;1.0;0.0;1.0;97159.0;0.7014073287307488
10;1.0;0.0;1.0;0.0;1.0;0.0;1.0;97237.0;0.7007434944237918
8;1.0;0.0;1.0;1.0;1.0;0.0;0.0;103073.0;0.7007434944237918
9;1.0;0.0;1.0;0.0;1.0;0.0;0.0;103175.0;0.7007434944237918
11;1.0;0.0;1.0;0.0;1.0;1.0;0.0;86109.0;0.6999468932554435
12;1.0;0.0;0.0;0.0;0.0;0.0;1.0;123561.0;0.6987519915029209
13;1.0;1.0;0.0;1.0;1.0;1.0;0.0;54641.0;0.6984864577801381
14;1.0;0.0;1.0;0.0;0.0;0.0;1.0;114962.0;0.6980881571959638
15;0.0;0.0;0.0;0.0;1.0;0.0;1.0;138206.0;0.6980881571959638
16;0.0;0.0;0.0;1.0;1.0;1.0;0.0;125170.0;0.6978226234731811
17;1.0;1.0;0.0;1.0;1.0;0.0;1.0;65775.0;0.6978226234731811
19;0.0;0.0;0.0;0.0;1.0;1.0;0.0;125242.0;0.6976898566117897
20;1.0;1.0;0.0;0.0;1.0;1.0;0.0;54722.0;0.6976898566117897
18;1.0;0.0;0.0;1.0;0.0;0.0;1.0;123395.0;0.6976898566117897
21;1.0;0.0;1.0;1.0;0.0;0.0;1.0;114796.0;0.6975570897503983
22;1.0;1.0;0.0;1.0;1.0;0.0;0.0;71678.0;0.6972915560276155
23;0.0;0.0;1.0;1.0;1.0;1.0;0.0;115596.0;0.6968932554434413
24;1.0;1.0;1.0;1.0;1.0;1.0;0.0;50557.0;0.6968932554434413
25;0.0;0.0;1.0;0.0;1.0;1.0;0.0;115668.0;0.6967604885820501
26;1.0;1.0;0.0;0.0;1.0;0.0;0.0;71780.0;0.6967604885820501
27;1.0;0.0;0.0;0.0;0.0;0.0;0.0;128724.0;0.6966277217206586
28;0.0;0.0;1.0;0.0;1.0;0.0;1.0;128533.0;0.6964949548592672
29;1.0;1.0;1.0;1.0;1.0;0.0;1.0;61648.0;0.6964949548592672
31;0.0;0.0;0.0;1.0;1.0;0.0;1.0;138131.0;0.6963621879978757
30;0.0;0.0;1.0;1.0;1.0;0.0;1.0;128458.0;0.6963621879978757
32;0.0;0.0;1.0;1.0;1.0;0.0;0.0;134292.0;0.6962294211364843
33;1.0;1.0;0.0;0.0;1.0;0.0;1.0;65853.0;0.6960966542750929
34;0.0;0.0;0.0;1.0;1.0;0.0;0.0;143985.0;0.6960966542750929
35;0.0;0.0;0.0;0.0;1.0;0.0;0.0;144083.0;0.6959638874137015
36;1.0;1.0;1.0;0.0;1.0;1.0;0.0;50638.0;0.6958311205523101
